62;Colegio industrial Cedup lages;Av. Dom Pedro II, 2555 - Vila Nova, Lages - SC, 88503-100
63;Inss;R. Gov. Jorge Lacerda, 126 - Centro, Lages - SC, 88501-120
64;Panificadora Marechal;Av. Mal. Floriano, 340 - Centro, Lages - SC, 88501-101
65;Cemitério Cruz das Almas;Av. Mal. Floriano - Santa Rita, Lages - SC
66;Jimmy Burguer  ;Av. Dom Pedro II, 1131 - São Cristovão, Lages-SC 
67;Cinemark;Rodovia BR 282, km 216, 1015 - Guarujá, SC 
68;Uniplac;Av. Mal. Castelo Branco, 170 - Universitário, Lages - SC
69;Pizzaria Quatro Queijos ;Av. Luiz de Camões, 122 - Coral, Lages - SC 
70;Bar Container;Av. Luiz de Camões, 1661 - Conta Dinheiro, Lages - SC 
71;Mercado Dj;Vinoco Camargo Da Várzea, Lages - SC
72;Edna's Bar;Habitação, Lages - SC, 88511-300
73;Cemitério Cruz das Almas;Marechal Floriano  Lages 
74;Central de Cópias Peninha;R. Sebastião Euriques de Oliveira, 149 - Beatriz, Lages - SC, 88505-130
75;Fontana Tratorpeças Ltda;Av. Papa João XXIII Petrópolis, Lages - SC, 88505-200
76;IFSC Campus Lages;R. Heitor Villa Lobos, 222 - São Francisco, Lages - SC, 88506-400
77;Bar Container;Av. Luiz de Camões, 1661 - Conta Dinheiro, Lages - SC, 88520-000
78;Lages Garden Shopping;BR-282, 1015 - Guarujá, Lages - SC
79;Phaellos Roda Pizza;Av. Pres. Vargas, 1501 - Coral, Lages - SC, 88523-090
80;MIDLages;Av. Mal. Castelo Branco, 170 - Universitário, Lages - SC, 88509-000
81;Terminal Urbano de Lages;Praça Vidal Ramos Sênior, 110 - Centro, Lages - SC
82;Unifacvest;Av. Mal. Floriano, 947 - Centro, Lages - SC
83;Santuário São Judas Tadeu;R. São Joaquim, 744 - Copacabana, Lages - SC
84;Incubadora MidiLages;Av. Mal. Castelo Branco, 170 - Universitário, Lages - SC
85;Bokas Serrano;Av. Dom Pedro II, 2008 - Dom Pedro, Lages - SC
86;Angeloni;R. Frei Rogerio, 587 - Centro, Lages - SC, 88502-161
87;Açaideira;R. São Joaquim, 231 - Copacabana, Lages - SC, 88501-273
88;Container;Av. Luiz de Camões, 1661 - Conta Dinheiro, Lages - SC, 88520-000
89;CAV;Av. Luiz de Camões, 2090 - Conta Dinheiro, Lages - SC
90;Milk Mone;Rua Frei Gabriel, 905 - Universitário, Lages - SC, 88503-100
91;CEDUP Renato Ramos da Silva;Av. Mal. Castelo Branco, 109 - Universitário, Lages - SC, 88509-015
92;CEDUP Industrial de Lages;Av. Dom Pedro II, 2555 - Vila Nova, Lages - SC, 88503-100
93;Santa Rosa de Lima;R. Lauro Muller, 444 - Centro, Lages - SC, 88501-130
94;Bom Jesus Diocesano;R. Cel. Córdova, 590 - Centro, Lages - SC, 88502-001
95;Univest;Av. Mal. Floriano - Centro, Lages - SC, 88501-103
96;Phaellos Roda Pizza;Av. Pres. Vargas, 1501 - Coral, Lages - SC, 88523-090
97;Supermercado Martendal;R. São Joaquim, 1079 - Copacabana, Lages - SC, 88504-011
98;Lages Garden Shopping;BR-282, 1015 - Guarujá, Lages - SC
99;Catedral Diocesana;Rua Frei Gabriel, 145 - Centro, Lages - SC, 88502-030
100;Hamburgueria Zanotto;Av. Belizário Ramos, 3567 - Guadalupe, Lages - SC, 88508-099
101;Phaellos Roda Pizza;Av. Pres. Vargas, 1501 - Coral, Lages - SC, 88523-090
102;Virtual Panoramico;Avenida Papa João XXIII, Santa Cândida, Lages - SC, 88516-600
103;Cinemark Lages;Rodovia BR 282, km 216, 1015 - Guarujá, Lages - SC, 88524-900
104;Motel Villages;R. Bruno Luersen, 3090 - Vila Mariza, Lages - SC, 88520-210
105;Pizzaria Quatro Queijos ;Av. Luiz de Camões, 122 - Coral, Lages - SC 
